"","Date","Q_m3_s"
"525",2017-02-22,1.51975296506263
"526",2017-02-23,1.48971151011817
"527",2017-02-24,1.47938408575008
"528",2017-02-25,1.46793079722936
"529",2017-02-26,1.53440151906882
"530",2017-02-27,1.54395726336666
"531",2017-02-28,1.54394958143055
"532",2017-03-01,1.53019537415634
"533",2017-03-02,1.57028967276062
"534",2017-03-03,1.55647881926344
"535",2017-03-04,1.7262814835203
"536",2017-03-05,1.76105809949303
"537",2017-03-06,1.62343588536196
"538",2017-03-07,1.72809235181595
"539",2017-03-08,1.85007968735847
"540",2017-03-09,1.80486822478254
"541",2017-03-10,1.87250810485441
"542",2017-03-11,1.72023511441997
"543",2017-03-12,1.84190269413283
"544",2017-03-13,1.99157385612134
"545",2017-03-14,1.86147674645425
"546",2017-03-15,1.84906081587027
"547",2017-03-16,1.80308162625769
"548",2017-03-17,1.77486686457419
"549",2017-03-18,1.70207240123417
"550",2017-03-19,1.6658908584771
"551",2017-03-20,1.63420510121731
"552",2017-03-21,1.6012346308896
"553",2017-03-22,1.58124819957076
"554",2017-03-23,1.55141120482688
"555",2017-03-24,1.53917194810772
"556",2017-03-25,1.51834746841889
"557",2017-03-26,1.50760546693674
"558",2017-03-27,1.52541278314319
"559",2017-03-28,1.47305365850945
"560",2017-03-29,1.4542102978391
"561",2017-03-30,1.52758168090541
"562",2017-03-31,1.59108313104774
"563",2017-04-01,1.46089271301121
"564",2017-04-02,1.44911726788339
"565",2017-04-03,1.46758808116149
"566",2017-04-04,1.41409970388849
"567",2017-04-05,1.41462883401554
"568",2017-04-06,1.73674397411372
"569",2017-04-07,1.62572088879164
"570",2017-04-08,1.55657039687847
"571",2017-04-09,1.51483875051881
"572",2017-04-10,1.4586917614454
"573",2017-04-11,1.43935300657962
"574",2017-04-12,1.43268389795888
"575",2017-04-13,1.43670783629465
"576",2017-04-14,1.46255084801334
"577",2017-04-15,1.4157237010303
"578",2017-04-16,1.39005513595683
"579",2017-04-17,1.39303137447687
"580",2017-04-18,1.41272147632903
"581",2017-04-19,1.46606592711373
"582",2017-04-20,1.40300822306674
"583",2017-04-21,1.36772931299168
"584",2017-04-22,1.35238003011668
"585",2017-04-23,1.38478765039616
"586",2017-04-24,1.4778865829715
"587",2017-04-25,1.37664911017672
"588",2017-04-26,1.28333048508882
"589",2017-04-27,1.22552476443213
"590",2017-04-28,1.21736773304217
"591",2017-04-29,1.15725084594911
"592",2017-04-30,1.1094390015701
"593",2017-05-01,1.12644402605133
"594",2017-05-02,1.17720247266675
"595",2017-05-03,1.13638511415012
"596",2017-05-04,1.05697795274462
"597",2017-05-05,1.24669738536999
"598",2017-05-06,1.22239895317583
"599",2017-05-07,1.13041318035621
"600",2017-05-08,1.08328649756962
"601",2017-05-09,1.04119670261569
"602",2017-05-10,1.07545230280717
"603",2017-05-11,1.02150640925988
"604",2017-05-12,1.10456130331846
"605",2017-05-13,1.42303158303299
"606",2017-05-14,1.18458944498374
"607",2017-05-15,1.13761450811379
"608",2017-05-16,1.05664594837938
"609",2017-05-17,0.923890128572347
"610",2017-05-18,0.850674498479583
"611",2017-05-19,0.781856743867103
"612",2017-05-20,0.894450891164427
"613",2017-05-21,0.697349902181102
"614",2017-05-22,0.736387813336043
"615",2017-05-23,0.645874827310471
"616",2017-05-24,0.526439687296869
"617",2017-05-25,0.563724909398737
"618",2017-05-26,0.504379864135431
"619",2017-05-27,1.51651943118202
"620",2017-05-28,1.65315692690325
"621",2017-05-29,1.68949633957718
"622",2017-05-30,1.85116640479136
"623",2017-05-31,1.9129873014796
"624",2017-06-01,2.00499901650603
"625",2017-06-02,1.68640386677453
"626",2017-06-03,1.60151761034291
"627",2017-06-04,1.44311643899608
"628",2017-06-05,1.34434888383461
"629",2017-06-06,1.27504642841547
"630",2017-06-07,1.3970021539517
"631",2017-06-08,1.33616976871063
"632",2017-06-09,1.22593632340676
"633",2017-06-10,1.34039488470457
"634",2017-06-11,1.56535651140351
"635",2017-06-12,1.74532810158779
"636",2017-06-13,1.83801450741011
"637",2017-06-14,2.21529858680287
"638",2017-06-15,1.99113131299524
"639",2017-06-16,1.86592578408876
"640",2017-06-17,1.88906353550573
"641",2017-06-18,2.05598516779082
"642",2017-06-19,2.11301944751491
"643",2017-06-20,1.92580050595488
"644",2017-06-21,1.85054087360607
"645",2017-06-22,1.76835511330938
"646",2017-06-23,1.68126489465281
"647",2017-06-24,1.91295391067742
"648",2017-06-25,2.19871477671051
"649",2017-06-26,2.13724570134936
"650",2017-06-27,2.05202122149732
"651",2017-06-28,2.25773628150653
"652",2017-06-29,2.0513294369282
"653",2017-06-30,1.96929560967822
"654",2017-07-01,2.00772826871825
"655",2017-07-02,1.98018609393389
"656",2017-07-03,1.9781674379282
"657",2017-07-04,1.88768072477071
"658",2017-07-05,1.87346980436395
"659",2017-07-06,1.89161776925296
"660",2017-07-07,1.92382395196129
"661",2017-07-08,2.16079057653213
"662",2017-07-09,2.30673377727078
"663",2017-07-10,2.37288643167264
"664",2017-07-11,2.21901681124703
"665",2017-07-12,2.12440103602975
"666",2017-07-13,2.04224149794053
"667",2017-07-14,1.98401242195018
"668",2017-07-15,1.94210326675612
"669",2017-07-16,1.92651497028272
"670",2017-07-17,1.9574095703784
"671",2017-07-18,2.02350734702174
"672",2017-07-19,2.00291472580118
"673",2017-07-20,2.09277729884857
"674",2017-07-21,2.23985808202206
"675",2017-07-22,2.10206035545523
"676",2017-07-23,2.02967918969934
"677",2017-07-24,2.00719450131734
"678",2017-07-25,2.00105793545233
"679",2017-07-26,2.22490633455628
"680",2017-07-27,2.13213463507232
"681",2017-07-28,2.03470791916501
"682",2017-07-29,2.00081214094215
"683",2017-07-30,1.98929503248633
"684",2017-07-31,1.98370128025879
"685",2017-08-01,2.01894616980724
"686",2017-08-02,1.93355815347515
"687",2017-08-03,1.95138957657867
"688",2017-08-04,2.09081355992857
"689",2017-08-05,1.96388641583377
"690",2017-08-06,1.9208492522867
"691",2017-08-07,1.90215986069802
"692",2017-08-08,1.87997295923383
"693",2017-08-09,1.87555239299112
"694",2017-08-10,3.07878141893788
"695",2017-08-11,2.77453469119738
"696",2017-08-12,2.6531511605087
"697",2017-08-13,2.57242507277509
"698",2017-08-14,2.53250452794641
"699",2017-08-15,2.48870821439428
"700",2017-08-16,2.46989331953039
"701",2017-08-17,2.42629174782692
"702",2017-08-18,2.41762446118383
"703",2017-08-19,2.41124561161565
"704",2017-08-20,2.44449444747139
"705",2017-08-21,2.46486109638323
"706",2017-08-22,2.45549253295948
"707",2017-08-23,2.41191513796555
"708",2017-08-24,2.38669825758998
"709",2017-08-25,2.43009849814847
"710",2017-08-26,2.52853143703046
"711",2017-08-27,2.57268110065102
"712",2017-08-28,2.61621142583898
"713",2017-08-29,2.63086692757973
"714",2017-08-30,2.74161870398053
"715",2017-08-31,2.80772707458786
"716",2017-09-01,2.75559733594656
"717",2017-09-02,2.67147188585897
"718",2017-09-03,2.63327226460122
"719",2017-09-04,2.64078302833826
"720",2017-09-05,2.70065021557756
"721",2017-09-06,2.744537415417
"722",2017-09-07,2.65134322386604
"723",2017-09-08,2.64275311767261
"724",2017-09-09,2.99891318520893
"725",2017-09-10,2.83314080074723
"726",2017-09-11,2.73708848346527
"727",2017-09-12,2.66786296834255
"728",2017-09-13,2.62117167536855
"729",2017-09-14,2.58005439125325
"730",2017-09-15,2.54956636245595
"731",2017-09-16,2.51904122794199
"732",2017-09-17,2.48936695199419
"733",2017-09-18,2.45858870511499
"734",2017-09-19,2.43286285209614
"735",2017-09-20,2.41256312332601
"736",2017-09-21,2.44594121082944
"737",2017-09-22,2.41841669795948
"738",2017-09-23,2.4864016433145
"739",2017-09-24,2.53440562075971
"740",2017-09-25,2.54575369245415
"741",2017-09-26,2.52607997592974
"742",2017-09-27,2.49503168837782
"743",2017-09-28,2.44720117964319
"744",2017-09-29,2.4289819434121
"745",2017-09-30,2.50667682641438
"746",2017-10-01,2.46693108540612
"747",2017-10-02,2.50940843935694
"748",2017-10-03,2.49589079615599
"749",2017-10-04,2.63665632493506
